Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/2014,6559,9.254,95971,268,10
1/2/2014,9334,11.736,96000,66,3
1/3/2014,1288,1.855,96042,1,1
1/4/2014,2494,3.706,96065,14,1
1/5/2014,2937,3.72,96084,17,4
1/6/2014,10481,13.016,96102,30,7
1/7/2014,7144,8.2,96124,5,4
1/8/2014,10162,11.768,96152,28,4
1/9/2014,14571,18.401,96171,74,10
1/10/2014,10685,13.433,96189,49,5
1/11/2014,8333,10.735,96225,101,16
1/12/2014,13549,19.141,96247,350,22
1/13/2014,22377,30.829,96276,224,31
1/14/2014,10849,13.271,96348,45,4
1/15/2014,23500,32.303,96391,241,30
1/16/2014,21528,28.807,96453,208,37
1/17/2014,21840,30.773,96509,282,34
1/18/2014,10222,14.596,96576,176,15
1/19/2014,9768,13.591,96616,194,13
1/20/2014,14581,20.103,96654,133,11
1/21/2014,4171,5.429,96701,5,1
1/22/2014,2762,4.061,96733,4,3
1/23/2014,5743,8.336,96741,9,1
1/24/2014,6901,9.375,96757,15,6
1/25/2014,4716,6.004,96770,34,0
1/26/2014,5462,6.691,96784,37,6
1/27/2014,14304,18.127,96804,55,18
1/28/2014,11066,13.722,96830,18,7
1/29/2014,10838,13.394,96852,21,6
1/30/2014,13198,16.914,96885,42,7
1/31/2014,15886,21.541,96912,130,10
1/1/2015,5792,9191,127279,267,11
1/2/2015,12371,18222,127293,298,8
1/3/2015,4834,6282,127300,96,7
1/4/2015,8509,11700,127308,152,5
1/5/2015,15792,20022,127336,88,12
1/6/2015,9483,12003,127354,2,1
1/7/2015,10685,12791,127363,5,1
1/8/2015,9777,11667,127372,18,0
1/9/2015,8631,11093,127376,16,2
1/10/2015,6826,8189,127383,51,3
1/11/2015,8204,10199,127395,68,8
1/12/2015,9441,11589,127408,27,2
1/13/2015,14134,17429,127418,23,10
1/14/2015,14396,18105,127427,43,7
1/15/2015,15463,19803,127434,64,8
1/16/2015,15059,19084,127441,94,14
1/17/2015,8243,10818,127453,152,3
1/18/2015,2038,2435,127461,12,0
1/19/2015,11913,15733,127470,124,11
1/20/2015,17615,22740,127502,93,9
1/21/2015,16734,21228,127520,67,16
1/22/2015,17435,22630,127530,74,9
1/23/2015,17080,22248,127545,95,14
1/24/2015,5275,6723,127552,41,2
1/25/2015,10235,14421,127559,202,4
1/26/2015,4537,5979,127566,15,0
1/27/2015,1405,2343,127569,36,1
1/28/2015,6223,9907,127575,12,2
1/29/2015,9845,14171,127586,31,3
1/30/2015,9943,12945,127595,21,6
1/31/2015,5752,7328,127596,38,2
1/1/2016,11009,24429,159362,919,51
1/2/2016,14587,29093,159403,877,34
1/3/2016,15499,29616,159459,784,27
1/4/2016,19593,36172,159502,166,33
1/5/2016,18053,32049,159534,121,22
1/6/2016,24569,40996,159564,265,27
1/7/2016,27773,45986,159588,318,24
1/8/2016,28709,47061,159621,364,28
1/9/2016,20846,37341,159654,632,20
1/10/2016,14275,25404,159682,391,18
1/11/2016,22937,37393,159731,155,32
1/12/2016,25211,38958,159761,151,23
1/13/2016,21133,31608,159792,82,15
1/14/2016,23780,37295,159813,123,29
1/15/2016,28435,45993,159841,379,27
1/16/2016,19178,35791,159885,803,37
1/17/2016,12024,20487,159910,387,22
1/18/2016,12718,19998,159931,123,13
1/19/2016,17281,26966,159957,64,12
1/20/2016,23419,35477,159972,126,11
1/21/2016,23671,36048,159991,133,15
1/22/2016,20950,31344,160004,115,6
1/23/2016,0,0,160005,0,0
1/24/2016,0,0,160013,0,0
1/25/2016,0,0,160020,0,0
1/26/2016,0,0,160028,0,0
1/27/2016,6760,13698,160039,54,6
1/28/2016,11944,22314,160053,81,9
1/29/2016,16028,26896,160064,118,27
1/30/2016,12964,23350,160084,328,23
1/31/2016,16112,31280,160118,533,17
1/1/2017,16009,50761,206624,1237,33
1/2/2017,8921,21545,206675,142,15
1/3/2017,14198,25879,206728,42,15
1/4/2017,34039,69966,206778,475,29
1/5/2017,28393,52446,206845,214,17
1/6/2017,24177,48964,206879,157,17
1/7/2017,4425,23556,206892,21,4
1/8/2017,6417,22756,206907,27,2
1/9/2017,15856,35209,206933,30,2
1/10/2017,23232,46216,206955,67,12
1/11/2017,32419,63099,206981,208,37
1/12/2017,39783,84763,207021,479,30
1/13/2017,33611,75847,207059,373,43
1/14/2017,13819,43090,207087,252,33
1/15/2017,17384,50738,207120,476,19
1/16/2017,24110,51664,207163,448,30
1/17/2017,18646,40697,207198,63,15
1/18/2017,30857,57978,207224,146,17
1/19/2017,36561,72077,207262,391,27
1/20/2017,26752,56479,207288,184,19
1/21/2017,26610,64662,207336,957,31
1/22/2017,20523,49368,207368,520,25
1/23/2017,15822,37687,207399,54,20
1/24/2017,13171,35619,207414,28,5
1/25/2017,36931,71418,207453,301,29
1/26/2017,33002,63750,207501,223,28
1/27/2017,32394,70189,207540,231,23
1/28/2017,21302,53955,207567,402,25
1/29/2017,22527,62854,207620,585,26
1/30/2017,29616,59975,207673,163,32
1/31/2017,25169,48684,207706,62,19
1/1/2018,5499,11483,253490,123,7
1/2/2018,18818,39352,253558,125,12
1/3/2018,24299,42853,253591,164,4
1/4/2018,1922,5328,253604,2,1
1/5/2018,4972,14303,253614,14,0
1/6/2018,4294,9479,253624,9,2
1/7/2018,5640,9387,253640,41,4
1/8/2018,15820,31294,253661,45,4
1/9/2018,25090,50981,253690,112,17
1/10/2018,28252,50218,253720,142,18
1/11/2018,33961,66584,253757,244,15
1/12/2018,22252,46403,253786,152,16
1/13/2018,17758,30418,253809,355,31
1/14/2018,12394,32949,253827,183,9
1/15/2018,17637,41770,253857,150,8
1/16/2018,30278,60053,253895,189,13
1/17/2018,19010,36319,253921,52,12
1/18/2018,27662,52573,253952,92,18
1/19/2018,30525,50322,253983,216,15
1/20/2018,28507,59336,254025,1044,41
1/21/2018,27908,61571,254092,1013,26
1/22/2018,36864,68638,254144,345,25
1/23/2018,28796,63693,254191,179,19
1/24/2018,36078,69596,254236,232,32
1/25/2018,31147,51927,254263,181,16
1/26/2018,33073,61857,254301,313,23
1/27/2018,34348,70146,254368,1415,41
1/28/2018,20100,38221,254415,334,22
1/29/2018,36799,68868,254466,274,33
1/30/2018,27996,59260,254492,114,15
1/31/2018,31276,54440,254539,141,19
1/1/2019,22145,44131,297823,2429,49
1/2/2019,38249,58975,297908,1062,36
1/3/2019,42181,62500,297976,969,31
1/4/2019,44420,65739,298017,1173,33
1/5/2019,17636,24326,298048,462,8
1/6/2019,31764,50481,298094,1711,31
1/7/2019,36928,52310,298152,514,18
1/8/2019,41728,60469,298218,654,23
1/9/2019,44882,63480,298263,646,23
1/10/2019,39449,53225,298299,478,13
1/11/2019,33196,44226,298331,465,23
1/12/2019,25431,35133,298361,772,26
1/13/2019,23020,33018,298399,700,18
1/14/2019,35408,48021,298439,402,9
1/15/2019,39538,54751,298470,511,19
1/16/2019,40854,56553,298510,513,7
1/17/2019,39417,53430,298546,463,14
1/18/2019,34478,47215,298574,542,27
1/19/2019,23933,34580,298595,865,28
1/20/2019,14440,19131,298616,368,8
1/21/2019,10392,11911,298632,141,5
1/22/2019,28913,37788,298665,315,14
1/23/2019,42028,59442,298692,526,10
1/24/2019,20328,27931,298721,260,7
1/25/2019,39298,54567,298748,621,21
1/26/2019,26607,38634,298778,933,18
1/27/2019,30338,48280,298828,1510,19
1/28/2019,36173,49109,298878,448,13
1/29/2019,31355,42066,298919,341,12
1/30/2019,25496,33178,298947,263,8
1/31/2019,18882,22917,298975,186,8
